word;Happiness;Anger;Sadness;Fear;Disgust
arogancki;1.154;4.692;2.769;2.769;3.885
aromat;4.630;1.111;1.148;1.333;1.519
aromatyczny;4.538;1.538;1.423;1.385;1.346
arsen;1.885;1.769;1.846;2.731;1.962
arsenał;2.222;1.556;1.778;2.630;1.815
artystyczny;4.148;1.926;1.667;1.630;1.407
ascetyczny;2.500;1.885;2.577;2.346;2.077
asceza;1.852;1.963;2.370;1.815;1.963
asekuracyjny;3.259;1.593;1.630;2.926;1.667
aspołeczny;1.630;2.407;3.222;2.963;2.148
atak;1.885;4.192;3.115;5.000;2.962
atlas;3.259;1.222;1.074;1.222;1.000
atomowy;2.333;2.444;2.296;3.037;2.296
atrakcyjny;5.538;2.192;2.346;2.038;1.423
atramentowy;2.333;1.519;1.407;1.259;1.185
autonomiczny;3.556;1.852;1.519;1.852;1.444
autorytet;4.962;1.846;1.538;2.538;1.615
awans;5.500;1.385;1.154;2.231;1.192
awantura;1.385;5.231;4.423;4.577;2.962
awaria;1.308;5.077;3.192;3.692;2.423
awersja;1.407;3.296;2.296;2.296;2.926
azyl;4.630;1.444;1.889;2.037;1.481
badacz;3.077;1.769;1.385;1.808;1.269
badać;3.192;1.423;1.846;2.923;1.885
bagno;1.769;2.538;2.538;3.577;4.154
bajka;5.077;1.308;1.654;1.423;1.231
bakteria;1.615;2.577;2.385;4.308;4.192
balast;1.593;3.222;2.481;2.741;2.185
balkon;3.667;1.593;1.519;2.444;1.593
balon;4.038;1.192;1.192;1.192;1.077
balsam;4.038;1.423;1.423;1.346;1.731
bananowy;4.462;1.577;1.231;1.154;1.462
bandyta;1.154;4.962;3.615;5.192;4.462
baner;1.885;3.538;2.038;1.654;2.769
bank;2.346;2.731;2.038;2.654;1.962
bankructwo;1.000;4.885;4.808;5.462;3.308
bar;3.615;2.346;2.231;2.308;2.346
barbarzyńca;1.462;4.192;3.500;4.692;4.038
bariera;1.481;3.222;2.741;2.815;1.778
bateria;2.462;1.731;1.538;1.769;1.538
bawić;5.333;1.704;1.741;1.556;1.333
bażant;2.963;1.296;1.333;1.667;1.370
bąk;2.444;1.778;1.481;2.741;3.074
belka;1.963;1.630;1.630;1.667;1.333
benzyna;2.500;1.846;1.654;2.654;1.654
bestia;1.885;3.231;3.038;4.654;3.423
bestialski;1.111;5.444;5.000;5.111;5.296
besztać;1.423;3.654;2.462;3.038;2.269
bezbronny;1.444;3.481;4.296;5.444;2.148
bezcelowy;1.192;3.731;4.038;2.923;2.346
bezcześcić;1.154;4.923;4.231;3.577;4.500
bezdenny;2.269;1.577;1.923;2.500;1.385
bezduszny;1.269;4.462;4.462;3.962;4.462
bezdźwięczny;1.808;1.769;2.577;2.192;1.423
bezgłowy;1.481;1.963;2.370;3.222;3.926
bezimienny;1.385;2.038;3.692;3.308;1.538
bezinteresowny;4.346;1.923;1.731;2.000;1.269
bezkonfliktowy;4.462;1.462;1.654;1.769;1.346
bezksiężycowy;2.000;1.370;2.185;1.667;1.259
bezpieczny;5.731;1.115;1.231;1.808;1.192
bezradny;1.115;4.308;4.692;4.115;2.385
bezsensowny;1.741;3.444;3.037;2.667;2.407
bezsilny;1.148;4.889;3.963;3.630;1.926
bezwartościowy;1.259;3.000;3.926;2.704;2.704
bęben;3.231;1.692;1.115;1.423;1.115
bękart;1.115;3.654;3.538;2.885;2.808
biadolić;1.519;4.148;2.222;1.630;2.667
biblijny;2.231;1.500;1.423;1.692;1.615
bicz;1.500;3.192;2.846;4.462;3.577
bić;1.385;4.654;3.885;4.538;3.654
biec;3.556;1.926;1.481;2.407;1.481
bieda;1.074;4.630;5.741;5.667;2.704
bierki;3.808;1.808;1.462;1.385;1.269
biesiada;5.000;1.885;1.385;1.846;1.692
bieżnia;3.615;1.846;1.231;1.692;1.423
bikini;4.423;1.269;1.731;1.577;1.538
bilans;2.231;1.577;1.692;2.077;1.269
biskup;2.000;2.889;2.185;1.556;2.222
bitwa;2.370;3.593;2.926;3.963;2.407
biurowy;2.231;1.923;2.115;2.231;2.385
biust;5.444;1.296;1.444;1.370;1.111
biżuteria;3.538;1.538;1.308;1.154;1.423
blask;4.654;1.308;1.500;1.538;1.192
bliski;5.731;1.192;2.077;2.577;1.192
bliskość;5.846;1.500;2.077;2.231;1.269
blizna;1.370;3.000;3.481;3.259;3.037
blondynka;4.154;1.577;1.462;1.269;1.308
bluzka;3.231;1.385;1.385;1.462;1.231
błagalny;1.778;2.667;3.667;2.778;2.481
błazen;2.038;2.500;2.769;1.577;2.423
błąd;1.269;4.692;4.269;4.115;2.269
błogosławić;4.346;2.000;2.000;1.923;1.654
błogosławiony;4.692;1.308;1.346;1.423;1.115
błyskotliwy;4.769;1.346;1.385;1.462;1.192
bocian;4.385;1.077;1.308;1.423;1.269
bodziec;2.630;2.185;1.370;2.222;1.963
bogaty;4.593;2.370;1.704;1.704;1.926
bohaterski;4.500;1.615;1.731;1.577;1.115
bojaźliwy;1.481;2.111;2.889;3.704;2.037
boleć;1.115;4.077;4.769;4.692;2.538
bolesny;1.407;3.407;4.556;4.259;3.296
bomba;1.692;3.962;3.923;5.385;3.615
bombowiec;1.692;3.385;3.269;4.385;2.962
borsuk;2.269;1.500;1.500;1.846;1.577
bóbr;3.926;1.296;1.296;1.778;1.481
bóg;4.577;2.154;2.577;3.154;1.846
ból;1.519;3.963;4.630;4.630;3.556
brać;3.154;2.308;2.115;2.000;2.154
brak;1.259;4.111;4.704;4.370;1.963
brakować;1.111;4.296;5.407;5.259;2.630
brat;4.593;2.481;2.037;1.704;1.370
brąz;3.037;1.778;1.556;1.333;1.333
brodawka;1.808;2.231;2.115;2.423;3.846
bronić;4.000;2.444;2.296;2.852;1.370
broń;1.500;2.731;2.038;3.923;2.654
brud;1.500;3.885;3.077;2.846;4.962
brudny;1.538;2.692;2.385;2.385;4.269
brutalny;1.346;4.038;2.846;4.346;3.192
brygada;3.115;1.962;2.077;2.269;1.346
brylantowy;4.769;1.231;1.385;1.731;1.192
brytyjski;4.111;1.519;1.593;1.667;1.519
brzmieć;2.808;1.654;1.577;1.423;1.077
brzoza;3.462;1.500;1.923;1.154;1.231
budda;3.185;1.630;1.407;1.370;1.222
budować;4.346;1.308;1.500;2.115;1.154
budzić;2.852;2.630;2.185;1.889;1.630
budzik;1.885;4.423;2.808;1.962;2.654
buk;3.037;1.519;1.333;1.370;1.370
bukiet;5.000;1.462;1.615;1.231;1.115
bumerang;2.923;1.346;1.192;1.538;1.269
bunkier;2.346;2.423;2.923;3.731;2.808
bunt;1.808;4.423;3.038;3.308;2.462
buntownik;2.615;3.731;1.923;2.885;1.885
bura;1.667;2.519;2.519;1.963;2.111
burzowy;2.556;2.222;2.111;3.444;1.630
but;2.815;1.370;1.444;1.407;1.519
butelka;2.731;1.769;1.692;1.846;1.654
byczy;3.000;2.000;1.538;2.308;1.846
byk;2.269;2.769;1.577;4.077;2.154
bystry;4.769;1.462;1.192;1.654;1.154
byt;2.962;1.692;1.962;2.346;1.731
bzdura;1.556;3.815;1.889;2.111;2.556
całować;5.846;1.115;1.308;1.308;1.192
cebulowy;1.963;1.667;1.630;1.370;2.037
cecha;2.500;2.077;1.538;1.769;1.538
ceglany;2.538;1.231;1.462;1.731;1.462
cel;4.846;1.769;2.000;3.000;1.423
cela;1.481;2.926;3.370;3.963;2.926
celebrować;4.385;1.500;1.346;1.385;1.423
celebryta;2.577;2.654;1.731;1.385;3.231
celnik;1.423;2.769;2.192;3.346;2.269
cena;1.808;3.385;2.885;2.577;2.846
cenić;4.346;1.308;1.423;1.654;1.308
cenny;4.308;1.192;1.308;2.308;1.192
centralny;2.038;1.885;1.962;2.192;2.231
cham;1.115;5.231;3.308;3.269;5.000
chaotyczny;1.923;3.846;2.346;3.115;2.654
charakter;3.846;2.077;1.423;1.885;1.538
chcieć;4.333;1.778;2.037;2.148;1.593
chciwość;1.154;4.346;3.654;3.115;3.885
cherlawy;1.308;1.731;2.923;2.654;2.269
chichot;4.731;1.923;1.538;2.115;1.846
chichotać;5.074;1.963;1.222;1.370;1.444
chlać;2.926;3.296;3.519;3.074;3.815
chleb;5.077;1.385;1.692;1.500;1.423
chłopak;4.185;1.815;1.741;1.852;1.778
chłopiec;3.692;1.615;1.923;1.500;1.385
chłopięcy;3.385;1.615;2.154;1.577;1.538
chmura;3.346;2.154;2.423;2.192;1.769
cholerny;1.333;3.963;2.037;2.444;2.481
chomik;3.885;1.269;1.385;1.462;1.923
chorągiew;2.889;1.222;1.667;1.593;1.185
chory;1.192;2.846;3.385;3.038;2.269
chronić;5.000;1.593;1.481;3.185;1.370
Chrystus;3.692;1.346;1.962;1.731;1.346
chrząszcz;2.462;2.077;1.346;2.538;2.923
chrzcić;3.538;1.731;1.538;1.731;2.038
chudnąć;3.222;2.037;2.556;2.444;1.889
chudy;3.154;1.923;2.269;2.000;1.769
chwalić;4.481;1.889;1.259;1.630;1.593
chwalipięta;1.269;4.269;2.231;1.885;3.231
chwast;1.154;2.846;1.885;1.731;3.000
chwiejny;1.538;2.577;2.462;3.346;2.462
chwytać;3.077;1.500;1.346;1.846;1.423
ciało;3.885;1.500;1.808;1.808;1.654
ciarki;2.769;1.962;2.154;4.154;2.269
ciastko;5.692;1.385;1.538;1.423;1.308
ciasto;5.231;1.462;1.577;1.500;1.462
ciągnąć;2.538;2.000;1.654;1.846;2.154
cichy;2.538;1.500;2.923;2.269;1.308
ciekawy;4.769;1.308;1.500;1.808;1.269
cienisty;1.846;1.308;1.808;1.654;1.269
cień;1.846;1.154;1.846;2.808;1.308
ciepły;5.500;1.615;1.423;1.654;1.115
cierpieć;1.192;4.115;5.692;5.154;3.231
cierpienie;1.222;3.815;5.963;5.815;3.074
cierpliwy;4.346;1.885;1.692;1.654;1.308
ciężar;1.577;3.308;3.038;3.269;2.115
ciężarówka;2.038;2.000;1.654;2.462;1.615
cios;1.538;3.846;3.923;4.577;2.385
ciotka;2.885;2.077;1.962;1.731;1.885
ciśnienie;1.667;2.259;1.963;2.741;1.963
cło;1.538;2.308;1.462;1.846;1.654
cmentarz;1.222;2.185;4.519;3.778;1.778
cnota;4.154;1.731;1.769;2.077;1.462
codzienny;2.692;1.692;1.846;1.462;1.615
córka;4.538;1.385;1.462;1.962;1.115
cuchnący;1.296;3.185;2.630;2.444;5.444
cud;5.654;1.385;1.385;1.885;1.269
cudzołóstwo;2.000;4.074;4.074;3.667;3.704
cukierek;4.962;1.231;1.308;1.923;1.231
cwany;2.192;3.846;2.423;2.962;3.385
cygaro;2.185;2.074;1.519;1.556;2.667
cylinder;3.308;1.385;1.231;1.192;1.654
cyniczny;1.615;4.385;3.577;3.115;4.077
cyrkowy;2.923;2.577;1.923;2.385;2.269
cytat;3.154;1.500;1.731;1.538;1.192
cytryna;3.815;1.407;1.333;1.296;1.333
czapka;2.769;2.269;1.385;1.538;1.615
czapla;3.000;1.444;1.259;1.370;1.296
czar;5.000;1.370;1.407;1.852;1.296
czarnuch;1.889;3.778;2.704;2.444;2.481
czarny;2.000;1.885;2.923;2.500;1.885
czarodziej;4.333;1.148;1.296;1.852;1.259
czarodziejski;4.615;1.231;1.423;1.923;1.154
czarować;3.462;1.654;1.500;1.962;1.731
czarownica;2.423;2.038;2.308;3.077;2.769
czaty;2.115;2.038;1.692;2.769;1.500
czekać;1.852;3.889;2.815;2.778;2.037
czeluść;1.769;1.923;3.077;4.077;2.269
czepek;2.444;1.741;1.296;1.556;2.370
czeremcha;2.481;1.370;1.778;1.741;1.778
część;1.808;1.577;1.615;1.654;1.231
członek;3.077;1.423;1.500;1.731;2.308
człowiek;4.615;3.538;3.423;3.385;2.962
czołg;2.296;2.741;2.852;3.778;2.148
czopek;1.538;2.538;2.115;3.346;4.423
czuć;4.370;2.111;2.444;2.481;1.593
czujny;2.654;1.885;1.846;3.269;1.385
czyhać;1.346;2.154;1.808;4.077;1.808
czyn;3.370;1.704;1.444;1.852;1.333
czynność;2.923;1.692;1.423;1.654;1.423
czynsz;1.259;2.852;3.148;3.000;2.667
czysty;5.423;1.269;1.269;1.154;1.000
czyścić;2.962;2.462;1.615;1.500;2.538
czytać;5.037;1.333;1.370;1.111;1.111
czytanka;3.423;1.577;1.538;1.346;1.346
czytelnia;3.407;1.741;1.593;1.407;1.296
ćwiczyć;4.593;1.963;1.444;1.630;1.852
dal;2.741;1.704;2.074;2.037;1.519
daleki;2.462;2.692;3.846;2.423;1.462
dama;4.423;1.577;1.654;1.692;1.731
daremny;1.500;4.000;4.077;2.192;1.923
data;2.269;1.654;1.769;2.500;1.500
datek;3.148;2.185;2.111;1.593;2.111
dawać;5.630;1.556;1.444;1.778;1.185
dawka;2.370;2.111;2.037;2.333;2.259
dąb;3.296;1.370;1.630;1.593;1.296
dążyć;4.038;1.577;1.615;2.500;1.231
dbać;5.077;1.308;1.577;1.500;1.231
debata;2.741;2.963;1.556;2.037;2.000
debiutować;4.111;1.519;1.556;3.370;1.333
dech;2.385;1.462;2.115;2.462;1.346
defensywny;1.731;2.385;1.846;2.615;1.808
deficyt;1.222;3.259;3.704;3.741;2.519
dekadencki;2.038;2.231;2.808;1.885;1.731
delikatny;4.444;1.111;1.259;1.407;1.222
demokracja;3.115;2.846;2.077;2.462;2.269
demokratyczny;3.154;2.654;2.231;2.423;2.038
demontować;2.000;2.115;2.192;2.115;1.692
denerwować;1.192;5.038;2.346;2.115;2.269
dentysta;1.704;2.593;2.556;4.593;2.741
deser;5.385;1.269;1.154;1.192;1.000
deszczowy;2.077;2.731;3.692;2.269;2.077
diabeł;1.885;3.000;2.885;3.885;3.077
diagnozować;2.654;1.423;2.269;4.000;1.692
dialekt;3.115;1.462;1.154;1.500;1.154
diamentowy;4.808;1.154;1.269;1.346;1.000
dobroduszny;5.269;1.538;1.500;1.308;1.192
dobrodziejstwo;5.308;1.192;1.308;1.154;1.231
doceniać;4.923;1.346;1.423;1.385;1.423
dochód;4.630;1.889;1.926;2.259;1.593
dodatek;4.346;1.346;1.385;1.423;1.385
dojrzały;4.346;1.654;1.808;2.000;1.423
dokładność;5.077;1.308;1.346;1.654;1.192
dokonywać;4.111;1.556;1.407;2.037;1.296
doktor;2.500;2.500;2.192;3.269;2.077
dokuczliwy;1.308;4.192;3.346;3.077;2.962
dokument;2.500;1.808;1.462;2.346;1.500
dom;6.111;1.963;2.222;2.000;1.444
dominacja;2.269;3.115;2.423;3.115;2.308
domostwo;4.962;1.385;1.615;1.654;1.346
donosić;1.333;4.741;3.370;3.556;4.593
dopłata;2.462;3.885;3.154;3.231;2.500
dopomóc;4.500;2.000;1.923;2.077;1.500
doradzać;4.115;1.731;1.423;1.923;1.346
doradztwo;2.308;2.231;1.462;2.115;2.154
dostarczać;3.741;1.667;1.481;2.000;1.556
dostawać;4.963;1.481;1.630;2.148;1.444
doświadczać;3.889;2.074;2.481;2.593;1.815
doświadczony;4.385;2.038;1.654;2.077;1.538
dotyczyć;2.269;1.538;1.385;1.577;1.192
dowodzić;3.815;1.667;1.407;3.000;1.407
dowód;3.481;1.593;1.444;2.074;1.222
doznawać;4.630;1.667;1.926;2.222;1.630
dół;1.269;1.808;3.731;3.077;1.808
dramat;1.593;3.259;4.333;4.074;2.519
drań;1.667;4.593;3.481;3.222;3.333
drapieżny;2.115;1.846;1.423;3.538;1.538
drażnić;1.667;4.889;2.630;2.593;2.741
dreszcz;2.423;1.692;1.962;3.385;1.885
dręczyciel;1.154;5.231;4.385;5.115;4.500
dręczyć;1.231;5.038;4.385;4.385;4.077
drobiowy;2.808;1.192;1.308;1.346;1.346
drobnoustrój;1.615;2.615;2.346;3.346;3.962
drobny;3.154;1.423;1.769;1.692;1.346
droga;3.963;1.778;2.111;2.556;1.481
drogi;2.577;2.808;2.885;2.269;1.808
drożdżowy;3.519;1.296;1.296;1.370;1.481
drużynowy;3.370;2.000;1.852;1.963;1.630
drzeć;1.115;4.077;2.269;2.577;2.308
drzewo;4.808;1.115;2.231;1.577;1.115
duch;1.923;1.808;2.846;3.846;1.808
duchowny;2.462;2.462;2.077;2.154;2.346
dumny;4.731;1.885;1.885;1.692;1.500
dupa;2.692;2.077;1.308;1.385;2.538
durnowaty;1.741;3.444;2.296;2.074;2.889
dusić;1.038;4.500;3.462;5.077;3.923
dusza;4.308;1.577;2.962;3.154;1.500
dygotać;1.423;2.462;2.923;3.423;2.000
dyktatura;1.556;3.926;3.074;3.667;3.630
dylemat;1.538;2.500;2.346;3.500;1.462
dynia;2.963;1.481;1.407;1.630;1.370
dyplom;5.815;1.556;1.444;2.296;1.148
dyplomatyczny;3.077;2.346;1.769;2.115;1.692
dyskutować;3.923;2.423;1.500;2.000;1.385
dysponować;3.885;1.308;1.192;1.500;1.154
dyspozycyjny;3.778;1.963;1.296;1.704;1.741
dywan;2.423;1.154;1.115;1.115;1.231
dzbanek;2.615;1.346;1.346;1.308;1.269
działacz;3.074;2.111;1.481;1.667;1.593
działać;4.423;1.538;1.538;2.038;1.346
działalność;3.577;1.846;1.731;2.577;1.385
działanie;5.000;1.593;1.185;2.741;1.333
działka;4.308;2.038;2.154;1.846;1.346
dziarski;3.808;1.731;1.192;1.423;1.231
dziecko;4.593;2.185;2.000;2.444;1.852
dziedziczyć;4.667;1.963;2.185;2.519;1.556
dziedzina;2.192;1.500;1.615;1.731;1.385
dzielić;3.577;1.808;1.962;1.538;1.154
dzielny;4.741;1.444;1.630;2.111;1.296
dzieło;4.538;1.346;1.192;1.462;1.346
dzień;4.115;1.692;1.692;2.000;1.385
dzierżawić;2.778;1.963;1.556;1.741;1.630
dziewczyna;5.148;1.630;1.593;1.704;1.259
dziewica;3.885;1.615;1.692;2.385;1.231
dziękować;5.370;1.259;1.296;1.370;1.296
dziura;2.222;1.926;1.815;2.370;1.815
dziurawy;1.423;3.692;3.462;2.500;2.885
dziwkarz;1.115;4.654;3.808;2.615;4.692
dziwny;2.115;2.077;2.115;3.192;2.692
dzwon;2.962;1.423;1.615;1.885;1.308
dzwonek;3.308;2.308;1.769;2.269;1.731
dzwonić;3.593;2.259;1.815;2.333;1.481
dźgać;1.296;4.000;3.074;4.444;3.630
dźwięk;5.000;2.346;1.923;1.846;1.385
dźwigać;1.385;2.423;2.115;1.462;1.615
dźwignia;2.407;1.481;1.370;1.852;1.111
dżuma;1.000;2.500;3.654;4.577;4.231
edukować;4.000;1.462;1.538;1.885;1.269
efekt;4.741;1.222;1.148;1.963;1.037
egoistyczny;1.346;4.923;3.308;2.462;4.154
egzystencjalny;3.000;1.778;2.296;2.148;1.333
ekran;3.038;1.577;1.692;1.500;1.308
ekstaza;5.407;1.667;1.185;2.111;1.259
elastyczny;4.037;1.407;1.444;1.519;1.481
elementarz;2.885;1.462;1.615;1.346;1.269
embargo;1.462;2.846;2.462;2.923;2.000
emerytalny;1.923;1.846;2.538;2.769;1.615
emocja;3.269;2.000;2.269;2.462;1.538
energiczny;5.000;2.000;1.346;1.654;1.308
erotyczny;4.577;1.731;2.000;2.269;1.654
etyczny;4.500;1.500;1.462;1.692;1.154
euforyczny;4.692;1.346;1.308;1.423;1.154
ewoluować;4.000;1.593;1.481;1.889;1.556
fabryka;2.077;2.462;2.462;2.731;2.538
fajka;3.000;1.692;1.885;1.962;2.308
fajtłapa;1.885;3.615;3.269;2.385;2.692
fakt;2.654;2.423;2.115;2.346;1.846
fala;3.538;1.615;1.577;2.808;1.269
fantazja;5.038;1.692;2.000;2.231;1.731
fartuch;2.370;1.630;1.667;1.630;1.815
fasada;2.385;1.423;1.462;1.577;1.500
fasola;2.231;1.654;1.462;1.269;2.077
faszyzm;1.000;5.346;4.231;4.846;5.385
fatalny;1.074;4.296;4.444;4.222;2.481
faza;3.815;1.556;1.556;1.704;1.444
figura;4.111;1.889;1.889;1.778;1.444
filiżanka;3.556;1.333;1.370;1.259;1.667
film;4.846;1.500;1.808;1.654;1.192
filtr;2.148;1.519;1.259;1.444;1.370
finał;4.385;1.231;1.654;2.038;1.000
fiołkowy;4.111;1.074;1.407;1.148;1.259
firmowy;3.481;1.444;1.259;1.519;1.407
flaga;3.846;1.231;1.692;1.269;1.154
flaming;3.037;1.296;1.296;1.296;1.037
flet;3.115;1.731;1.846;1.269;1.346
flirt;4.462;2.038;1.962;2.923;1.846
foka;3.769;1.231;1.500;1.385;1.500
forma;2.769;1.808;1.577;1.885;1.423
formować;2.231;1.885;1.692;2.154;1.654
fortepian;3.852;1.296;2.148;1.296;1.259
fortuna;5.000;1.654;1.538;2.115;1.269
fotel;4.269;1.385;1.500;1.615;1.192
fotografować;4.926;1.370;1.222;1.370;1.148
frakcja;1.778;1.815;1.444;1.889;1.889
front;1.963;2.704;2.815;3.556;2.259
fryzura;3.593;1.889;1.370;1.593;1.481
funkcjonariusz;2.148;2.704;1.630;3.481;2.333
futro;2.154;1.846;2.077;1.615;2.308
fuzja;2.593;1.741;1.556;2.333;1.444
gadać;3.423;3.423;2.038;2.192;2.269
gadanina;1.885;3.538;2.115;1.808;2.577
gadzi;1.923;1.846;1.654;2.615;2.962
ganić;1.654;3.577;3.231;3.538;2.192
gardło;1.500;2.000;1.846;2.462;1.962
gardziel;1.231;1.962;1.538;2.462;3.192
gawędzić;4.115;1.308;1.231;1.231;1.231
gaz;1.923;2.308;2.269;3.923;2.731
gazeta;2.615;1.923;1.308;1.385;1.308
gąbka;2.500;1.038;1.038;1.000;1.231
gąsienica;2.741;1.741;1.889;2.037;2.296
generał;2.259;1.852;1.778;2.593;1.741
genialny;5.423;1.654;1.423;1.577;1.192
geniusz;5.154;1.923;1.923;2.000;1.423
gest;4.077;1.615;1.346;1.769;1.615
getto;1.154;5.192;5.615;5.231;5.000
gęś;2.038;1.077;1.231;1.615;1.500
giełda;3.154;2.615;1.846;3.000;1.885
gigantyczny;2.615;1.692;1.308;2.231;1.423
girlanda;2.731;1.346;1.423;1.423;1.385
gitara;5.192;1.769;2.038;1.731;1.308
gleba;1.731;1.885;1.500;1.923;1.577
globus;3.222;1.148;1.074;1.444;1.037
głaz;1.923;1.538;1.962;2.231;1.308
głęboki;3.154;1.615;1.769;3.115;1.538
głodny;1.296;4.259;3.778;2.889;1.852
głośny;3.111;3.778;1.519;2.259;1.963
głuchy;1.370;2.630;3.593;3.333;2.259
głupi;1.808;3.577;3.308;2.731;2.654
głupota;1.808;4.038;2.692;2.423;3.192
gnębić;1.148;5.370;4.333;4.481;4.556
gnić;1.222;2.630;2.889;3.333;4.630
gniew;1.500;4.923;3.385;3.423;2.500
gniewny;1.231;4.654;2.692;3.808;2.692
gnojówka;1.407;1.704;1.407;1.444;4.259
godzina;2.231;2.154;1.923;2.731;1.385
gol;5.259;1.704;1.963;1.407;1.259
golarka;1.731;2.077;1.615;1.692;2.115
gołąb;2.615;1.731;1.269;1.462;2.423
gorączka;1.259;3.444;3.630;2.741;2.444
gorzki;1.577;2.192;3.077;2.269;3.385
gospodarstwo;2.962;1.846;1.846;2.154;1.923
gosposia;3.111;1.926;1.778;1.667;1.593
gość;4.385;1.769;1.500;2.308;1.654
gotówka;5.296;1.481;1.593;1.852;1.222
goździk;3.692;1.154;1.500;1.192;1.154
gówno;1.481;3.333;2.111;1.963;5.333
gra;4.577;2.231;1.423;2.269;1.346
grabie;1.885;1.269;1.308;1.462;1.308
grać;4.519;2.037;1.444;1.815;1.481
grad;1.815;2.111;2.222;2.593;1.556
gramofon;4.185;1.259;1.370;1.037;1.000
granat;1.692;3.038;2.654;4.308;2.615
granica;2.462;2.692;3.192;3.538;2.115
gratisowy;4.462;1.808;1.308;1.615;1.615
groch;1.630;1.704;1.519;1.630;1.926
gromadny;3.000;1.370;1.185;1.556;1.296
gromadzić;3.346;1.846;2.038;1.615;1.654
grozić;1.115;4.654;3.154;4.769;3.654
groźba;1.154;4.308;3.654;5.231;3.269
grób;1.231;3.115;5.615;4.654;2.808
gród;3.115;1.269;1.500;1.654;1.192
grupowy;3.296;1.852;1.778;2.296;1.852
gruszkowy;3.885;1.346;1.231;1.231;1.308
gruz;1.741;2.074;2.444;2.000;1.963
grzebień;2.308;1.654;1.385;1.423;1.731
grzmot;2.462;1.731;1.538;3.154;1.538
grzybowy;3.731;1.500;1.192;1.538;1.769
gumowy;2.037;1.444;1.333;1.519;1.593
guz;1.148;3.667;4.704;4.667;3.704
gwałtowny;1.667;3.111;2.259;3.333;2.370
gwiazda;4.692;1.538;1.615;1.615;1.269
hala;2.769;1.192;1.308;2.077;1.462
haniebny;1.269;3.654;2.923;2.231;4.192
hańbić;1.333;4.333;3.556;3.259;3.815
harfa;4.222;1.148;1.630;1.074;1.074
harmonia;5.654;1.423;1.385;1.231;1.269
harować;1.885;4.269;3.308;3.462;3.115
hasło;2.407;2.000;1.222;2.222;1.407
hazard;2.296;3.815;3.111;4.556;3.519
hebel;1.704;1.741;1.444;1.481;1.333
heretyk;1.808;2.846;2.385;2.692;2.423
herezja;1.231;4.038;3.577;3.308;3.538
heroiczny;3.808;1.423;2.115;2.192;1.462
heteroseksualny;3.577;1.538;1.269;1.500;1.615
hipnotyczny;2.963;1.481;1.407;2.926;1.296
hipoteczny;1.519;2.259;2.259;2.630;1.963
